sequence,label
My favorite bro!!!!!!!!!,1
It' sad that we can' see how may dislikes this video has by now,0
"Always JB, always",1
Channel name Kanxojignesh07,1
2023,1
Nothin can compare to this banger 🤷🏾‍♀️,1
This song never get old 😍,1
Justin was just kid with dreamy eyes but toxic people on the internet made him how he' today... like the old innocent Justin 💔,0
"❤❤❤ . . 👇 *You are amazing stay blessed, stay safe and have amazing rest of your day,and hope everyone finds inner peace* ❤",1
wizz,1
was born in the same year as this song came out lamo,1
Elegant vice 🗜️,1
August 2023?,0
like this the video' funny👍👍👍👍,1
amooo,1
Ola,1
' back from 2023 to 2010 for best vibes.,1
👍👍👍👍👍👍👍👍👍👍👍👍👍👋👋,1
How many likes will this comment get?,1
all time superstar 💪💪💪💪💪,1
Love it❤❤❤,1
Reminds me of Rodrick Hefffly singing,1
Litterly still listening in 2023😂❤,1
Me lol,1
Someone from august 2023?,0
Someone in August 2023,1
😢2023 has come guys🎉😢,0
Me 2,1
Nice bro i am from bangladesh i am ❤❤ comeing to visit to the canada brother ❤❤❤❤❤,1
wow😆😆😆,1
Today 😂,1
Voderbalo,1
Vodai,1
will meet my self in the comments at 2024,1
Best Song Ever ❤❤❤❤❤,1
was thinking that this song is singed by girl.,0
Justin old vs 2023,0
FAVV ERAAA😚,1
Good song ❤❤❤❤,1
love this songgg ❤,1
My younger son most favourite,1
This is the most goofy ah song ever made by child,0
Kiska favorite song 😊,1
"Time will pass, we will get older, but this song will remain in our heart forever. ❤",1
It' really moving to hear the voice of Justin Bieber when he was still child.❤,1
Good 🎉,1
No need lofi version of this song !!!! 😊,1
My boys all grown up😢😢😢,0
Anyone noticed drake 🤔 hmmm,0
hate growing up. Still listening to it in 2023 ❤️,0
Love this,1
BABY 💖🍼 BABY 🍼💖 BABY 🍼💖 BABY 💖🍼 BABY 💖🍼,1
0:19,1
think he' Quiting music for meantime.. Get well soon Justin..,0
🫶🫶🫶🫶🫶,1
2023 pog,0
still hate this song to be honest,0
Justin Bieber song fallen me in love always,1
Cringe button 👇,0
goood,1
🥹✨🫂,1
dumb,0
Yeah,1
"’ sorry for hating on you so much Bieber, baby is🔥🔥🔥",0
Justin bieber up Terence are name my,1
Who is watch in 2023,1
thought that girl was from Game shakers,1
woowAmzing music 2023,1
"Becoz my breakup in 2014, think this song also came at around same period.. Even love this song, would use to ignore... Becoz my breakup.... But amazing lyrics, music and everything.....",1
Zesty festival is the first when did the when Signed sigma no,0
From pakistan your song is very very famouse 🎉 and your song is wow osam🎉❤,1
2023 let' gather here,1
Still masterpiece in 2023,1
That humming at the first..want to hear again,1
this song is most disliked song video.But why this song hated for no reason,0
Who were the people to hate him at that time??,0
Hellooooo,1
is that girl is selena gomze,1
can' accept the fact that this song is going to be 13 years ago.,1
10/10,1
chillhood song and still listening❤,1
2023🎶,1
remember that when was 10yrs old age and used to sing this song in school ❤️❤️ remembering those days 😭😭😭,1
Man used to wear supra back then because of him 🤣,1
This man is full of emotions,1
what the ..... DRAKE?? 1:15,0
nice,1
Are guilty pleasures really supposed to be guilty-feeling? Don' care. This song fucking bangs.,0
remember when this song played at prom and some girl came up on the stage and rapped the whole verse,1
2010: People come for the song 2023: People come for the views and likes,1
My favorite song is timeless never get old ❤,1
3 billion is coming 🥰,0
baby baby oh like baby no like baby baby oh,1
"Nah don’ know why this is in my recommendation, will never like anyone that spits on his fans and puppies…",0
"message to every person who has not yet converted to Islam Peace be upon those who follow guidance. how is your heart? How is your life? are you happy? Or worried? Or upset? Is your heart shaken between entering Islam and remaining as you are? am addressing your heart, which has something within it that wants Islam, but is hesitant and perhaps afraid. My brother, live the beauty of Islam, the sweetness of Islam, and the mercy of Islam. Isn' it time for your heart to wake up from its negligence? Is it not time for you to return to God, Lord of the worlds, by entering Islam? Or are you tired of the path of Satan and his disbelief, look at the light within you, and leave the dark side. Take the darkness out of your heart, and enter the light that leads you to the truth. Or did you hear the word Allahu Akbar Allahu Akbar in the call to prayer? Didn' you notice that God is greater than your worries, greater than everything, capable of changing the course of your life in the blink of an eye? Aslam, peace be upon you, rest and rest assured, and be happy, and your heart radiates happiness, mercy and satisfaction! My brother, God sent the Prophet Muhammad to all people, and he is the last of the messengers, so there is no prophet after him, and there is no happiness except in his religion, the religion of Islam. When was the last time you she would tears for fear of God, praying to Him to guide you to the right path? Have you forgotten God, God is one, one, there is no intermediary between you and God in the religion of Islam, so call upon Him whenever you want, for He sees you and hears you? Taste the sweetness of God' monologues in Islam; Because when you call upon Him in Islam, this is proof that you have removed from your mind the darkness that He has partner, for God has neither partner nor son, He is God the One who begets not and is not begotten, and there is no one equal to Him. invite you from my heart, which has known the sweetness of Islam and the mercy of Islam, to enter into it. ask God to open your heart to Islam, get up now, yes now, take bath and say: bear witness that there is no god but God, and that Muhammad is the Messenger of God. Feel these words, and you will feel comfort in your heart that you have not felt throughout your life.",1
Who listening this song in 2023 August 🫵🔥,0
since 10 now 23 justin still that man,1
5M more for 3B views.,1
Justin Bieber you made my life better,1
Here before 3Billion Views ❤❤,1
"Yea, just checking. Still pice of shit.",0
"Although he is young, he sings well and deserves 10 song points",1
August 2023 this song will never get old,1
Waw,0
August 2023,1
This song is so straight and like it,1
And we will never ever ever be apart,1
Ever time❤,1
Not coming back?,0
Here before the 3 billion mark,1
It' about to hit 3B,1
nostalgia right here,1
"The Biebs helped get me through the tough times in college. will never forget that it was his music playing in my car when someone rear-ended me on the highway on my way back from class. My car spun out across 4 lanes, but somehow no one else hit me and ended up on the side of the highway stunned but in one piece.",1
live this song❤😊,1
Lisa blackpink audition song,1
Great song. ❤️,1
Ngl thought this was girl singing this the first time listened to this without the video,1
Hi,1
2023 anybody???,0
Who would expect this to be the 4th most disliked video?,0
those small reindeer red cowards should not exist. swear they are bad luck.,0
"(10 years ago) ""Who' Justin Bieber..?"" (now) *watches 5 times and know all the lyrics*",1
Can’ believe drake was in this and never noticed,0
Mujhe innocencettt Lovechahiye,1
But Aap Abhi se Border cross kr gaye Old age Think aapki,0
Still listening in 2023😊,1
"to be honest its kind of mid, not too bad ig, i do not know.",1
worst song ever.,0
fav human ever,1
2010: baby baby baby 2015: sorry sorry sorry 2020: yummy yummy yummy 2025: ? ? ?,1
2010:baby baby baby 2015:sorry sorry sorry 2020:yummy yummy yummy 2021:stay stay stay,1
So cute ❤😮,1
Who still here 2023,1
will buy anything anyring like what can do for you just tell me😶,1
Love you,1
"will never forget hearing about justin bieber for the first time. was at neighbors house in the summer, and the one girl there had this song playing. she goes “this is justin bieber.” and reply with “he’ like 12” ( was 14) and she goes “no idiot, he’ 16.” immediately intrigued. 😂",1
SO IS GOD,1
2023?❤,1
Who knows Justin Bieber has Tik tok profile,1
Wow,1
wow,1
You are really good person Justin Beiber. ❤❤❤❤,1
30000..com.098,1
😊💓💓💓,1
Justin brought my oldest daughter nd som much closer. This wuz her dude nd as her dad wuz going to make her dream of meeting him reality. Ty JB for giving my baby dreams goals nd aspirations. We all got to have dream ya heard 🎉❤,1
Any legendary people in 2023?,1
Your are my sun justin bieber,1
2023❤,1
Lame song,0
' 17 now still listening this masterpiece when first listen when ' 15 ..❤️,1
"bit out of the way, but feel so happy to live in an era with Cr7, JB, Faker 💚💚💚🍀",1
Any master piece in 2023,1
My all time favorite song. Love you Justin. Greetings from India. ❤🇮🇳😘,1
1:14 Should have changed the title to Justin Bieber - Baby ft. Ludacris and Drake🤣🤣🤣🤣,0
The old good days,1
One of the best song of all time and one of the greatest singer,1
No matter how many years pass this song will always stay in our heart forever❤️✨,1
2023?😂,0
Ohhhh ahhhh you know you love me know you care just shout when ever and will be there you are my love you are my heart and we will never ever ever be apart,1
really really miss this sm😢,0
This song is very nice this song will stay in our hearts forever. love you jB 💕,1
300cr.😮❤️‍🔥🤩,0
love JB💜💜,1
Who is listening to this song in 2023?,1
"Oh-ooh-whoa-oh-oh-oh-oh Oh-ooh-whoa-oh-oh-oh-oh Oh-ooh-whoa-oh, oh-oh-oh-oh You know you love me (yo), know you care (uh-huh) Just shout whenever (yo), and will be there (uh-huh) You are my love (yo), you are my heart (uh-huh) And we will never, ever, ever be apart (yo, uh-huh) Are we an item? (Yo) girl, quit playin' (uh-huh) ""We are just friends"" (yo), what are you sayin'? (Uh-huh) Said, ""There' another"" (yo), and looked right in my eyes (uh-huh) My first love broke my heart for the first time, and was like (yo, uh-huh) ""Baby, baby, baby, oh"" Like, ""Baby, baby, baby, no"" Like, ""Baby, baby, baby, oh"" thought you' always be mine, mine ""Baby, baby, baby, oh"" Like, ""Baby, baby, baby, no"" Like, ""Baby, baby, baby, oh"" thought you' always be mine, mine Oh, for you, would have done whatever (uh-huh) And just can' believe we ain' together (yo, uh-huh) And want to play it cool (yo), but ' losin' you (uh-huh) will buy you anything (yo), will buy you any ring (uh-huh) And ' in pieces (yo), baby, fix me (uh-huh) And just shake me 'til you wake me from this bad dream (yo, uh-huh) ' going down (oh), down, down, down (uh-huh) And just can' believe, my first love won' be around, and ' like ""Baby, baby, baby, oh"" Like, ""Baby, baby, baby, no"" Like, ""Baby, baby, baby, oh"" thought you' always be mine, mine ""Baby, baby, baby, oh"" Like, ""Baby, baby, baby, no"" Like, ""Baby, baby, baby, oh"" thought you' always be mine, mine (Luda!) When was 13, had my first love There was nobody that compared to my baby And nobody came between us, nor could ever come above She had me going crazy Oh, was starstruck She woke me up daily Don' need no Starbucks (woo) She made my heart pound And skip beat when see her in the street and At school on the playground But really want to see her on the weekend She knows she got me dazin' Because she was so amazin' And now, my heart is breakin' But just keep on sayin' ""Baby, baby, baby, oh"" Like, ""Baby, baby, baby, no"" Like, ""Baby, baby, baby, oh"" thought you' always be mine, mine ""Baby, baby, baby, oh"" Like, ""Baby, baby, baby, no"" Like, ""Baby, baby, baby, oh"" thought you' always be mine, mine ' gone (yeah, yeah, yeah, yeah, yeah, yeah) Now, ' all gone (yeah, yeah, yeah, yeah, yeah, yeah) Now, ' all gone (yeah, yeah, yeah, yeah, yeah, yeah) Now, ' all gone (gone, gone, gone) ' gone",1
this lil mf had everyone in chokehold back then,1
Did you realize that Drake was in this music vid,1
Poor Justin .Hitting on girls 2years oldler,0
chat here me out,1
Good morning Have Nice day,1
Old memories nice song❤,1
In India the song is always in heart ❤️,1
Justin Bieber did you guys kissed at the last and thought you guys kiss cuz if you guys kissed will be like yeah Justin Bieber has girlfriend yeah Justin Bieber have girlfriend,0
Damn only years later realise drake is in this vid as well,0
Thank god you cannot see the dislikes anymore,1
It is so cool guess ' watching this.🎉🎉❤❤❤❤🎉🎉🎉😢🎉🎉🎉🎉🎉❤❤❤❤❤❤😊😊😊,1
' still listing😍,1
"When this song came out we were all at our best moments of our lives, we were happy and didn' know it.",1
My sis likes you and she wants to marry you,1
Boss dancer then and now,1
Everyone just hanging up on teenager,1
Best baby🎉,1
goddamn hate this but why do come back to it 💀💀,0
Drake what are you doing here?,0
Anyone in 2023 😂!!,1
"Ah yes, the good old days!",1
"love you sir justin , and this music. This music are the reason why love you and got addicted to music thank you.",1
’ rather listen to baby shark on repeat for 10 hours rather then hearing this shit just once 💀,0
This bring so many memories 😢,0
How many international fans are here!??🤚,1
never knew this was Justin Beiber song. thought it was chick singing.,0
This song will never get old👍♥️,1
"was afraid to listen to this song in public thinking people will make fun of me. But now as am older understand that was wrong, people were just jealous.",0
😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍,1
Jb true star,1
My God this is very good our MN,1
Yeh,1
Who is here in 2023 still enjoying ❤❤🎉,1
Legend...... Listening this song after long time .... Best song of justin Bieber ever... #oldisgold ... Old vibes,1
Justin Bieber has transcended almost 2/3 generations of people.,1
"This is what made me fall in love with JB....no matter how old will get...when listen to this , will always feel like ' 13",1
2023🇩🇿💚💚🇩🇿💚💚🇩🇿🇩🇿🖤,1
Let' all agree that JB owned the whole world for some time with this song,1
Your one of the best justin when am broken or lost come your video and song ❤❤🎉🎉😊thank you for inspiring the world amen ❤,1
love him forever❤❤❤,1
mean kid was pushed out by major corporate figures. Not his fault he was kid with good vocals. Bad press and surrounding guess,0
This song is My world ❤.!,1
You love me,1
EieiwiJaj👇😍👇😍👇Fhdh❤️😍❤️😍🤣😍🤣❤️💔❤️😊💜💔❤️💔❤️💔❤️🤣👇🤣😍🤣👇❤️👇❤️😍❤️😍❤️😍❤️👇❤️💔❤️💔,1
Its june 31 from india,1
my favorite song am from bangladesh,1
Why postpone your concert,0
cool😊❤,1
2010: baby baby baby 2015: sorry sorry sorry 2020: yummy yummy yummy,1
"This song summed up my 15/16 years of age self, same age as Justin, bless him! Such catchy tune ✨🤩",1
Still listening in 2023,1
Good song ever ❤️,1
here after 13 years to still dislike it,0
like if you are from 2023!!,1
He' great at the vocals🤩 not the dancing😶,0
13 years later and this song still sucks LOLOLOLOLOLOLOL,0
That Is how headstart look like 🔥,0
Makes me remember how everyone had death wish on Justin bieber back then,0
Priyanka kanu ❤❤❤❤❤❤❤❤❤❤🎉🎉🎉🎉❤❤❤❤,1
Ludacris verse is fire,1
love you Justin Bieber,1
How' Haley doing,1
Are we going to ignore drake in the video,0
WAS TODAY YEARS OLD WHEN FOUND OUT THAT DRAKE WAS IN THIS VIDEO,0
Old is gold 🤠🪙,1
sometimes think about how crazy his impact is like he’ quite literally legend,1
2010:baby baby baby 2015:sorry sorry sorry 2020:yummy yummy yummy,1
Love from India 🇮🇳 ♥️,1
Hey guys checkout Lisa from Blackpink song Money.,1
2010: baby baby baby 2015: sorry sorry sorry 2020: yummy yummy yummy,1
In 2023 we are still here 😭😭😭,0
It' tradition to dislike this video,0
Camera man needs an Oscar😮,0
This song is older then me,1
No one would expect this to be the 4th most disliked video,0
Baby baby oh like baby baby baby,1
The best romantic lyric🥰. My heart beating to million for second when listen this music👌🎤🎶♥️❤,1
He was so young 😢😮😊,1
Just culinary,1
"When was younger everybody was hating on him and this song because it was ""annoying"". always found it enjoyable and think Ludas part is fire to this day.",0
2009-infinity Love you always Justin ❤,1
2023 😁,1
❤❤❤❤ been stuck in my head,1
How many Indian public ❤ this song,1
"🎉Are you able to do,it slow also want my love",1
2033,1
"İ was 13 then, now ’ 26🥹😞",0
We getting older and hate it…..😞,0
3:39 my favourite part,1
2023 Always cool❤,1
Love you❤❤❤❤❤❤❤,1
was even born when this song came out-,1
This video has 15 million dislikes why,0
Justin can’ you see she dose not like you bro let her be alone,0
don' know why am listening this song 🔥,0
Si❤❤❤❤❤❤❤❤❤,1
How many people are Growup with these song?❤❤,1
❤ love this song & ❤ this Justin beiber,1
1:14 Is he Drake?,1
2025:happy happy,1
My favorite song love that song,1
Dear justin sorry for hating you for no reason 😢 i am sorry. love you now ❤,1
"This is song basically. just sort of know the way he sung, the actors just kind of acted, the dancers danced but it was all just basically video. What video and have to say, this is truly one of the songs ever made.",1
Who is sing song this year hit like...❤,1
love this song,1
oh sdd,0
Who back in 2023,1
who still loves justin in 2023 :()))) meeeeee,1
Childhood love❤❤❤,1
Loveyoume😿😽meshow.boy😘😙😚💋💋💋💋💋💋,1
Old but gold song ❤️❤️❤️❤️❤️,1
Still my Favourite song,1
This song will never get old ❤❤✨ Agree?,1
Still don’ get the reason why this has over 10 million dislikes,0
Beautiful,1
Anyone 2023!!,1
This song will remain as one of Gen ' most iconic song ever.,1
Baby justin is everything 💞,1
Who can listen it in 2023,1
Road to 3 billion views 🤘🤘🤘,1
15 Dec 2023,1
Masterpiece fr,1
How many couple listen this song in 2023🎉🎉,1
2023 still listen this song ❤,1
Luda Chris from fast five,1
Love from india 🚩🕉️❤️❤️,1
Beaver,1
Luda. When was 13 had my first love there was nobody that compared to my baby and nobody came between us or could ever come above she had me goin crazy oh was star struck she woke me up daily don’ need no starbucks she made my heart pound and skip beat when see her in the street and at school on the playground but really want to see her on the weekend she know she got me dazing because she was so amazin and now my heart is breakin but keep on sayin baby baby baby oooh,1
Who came here to see if it really was drake.,1
The girls ass is kind of small.,0
2.994 Billion views .. its wonderful .. please go to 2.998 Billion views .. Naman,1
This song defines an era love it or hate it. Never was there teenage girls going crazy over kid,0
my fav part is 0:28 to 0:35 or 0:36,1
10 year ago 😢,0
came for dislike. And ' out now.,0
Justin Bieber is best singer for whole world❤❤,1
My cousin has crush on him,1
Who Is keep listening this song in 2099 hand up 😂,1
@Justin Bieber want you are kids!,1
"be stroking my shit, be jackin my shit",0
My sister listened ' Brazilian but this song is top!,1
baby oh baby baby oh,1
Chat is this real ?,1
"30 July , 2023",1
Did know this vid has over 18 million dislikes,0
"do not know why but even in 2023, like 8 years after i have heard the song, my first reaction is internal screaming. Like why is that my minds first reaction?",0
He looks so young 13 years ago ❤,1
Ohhhh!&,1
Justin Bieber my favorite songs about Fans about his songs of Fans about his songs about,1
"Nostalgia can' hit harder, this reminds me of good old school days",1
This song is ass😂,0
This is my favorite song bye Justin,1
2010 was 13 yrs ago..,0
❤ it keep it up Awesome Music By The Way,1
Realised today that Drake was in this video too,1
2023 Where are the listeners?,0
"stay here and wait till the day it hits 2,999,999,999 views its amazing and happy and finally hit 3B ( Siuuuuuuuuuuu 🍀💚) 8/8/2023 3B views.",1
3:08,1
Anyone here after Rodrick' cover of this song? 😂,0
This is kid but in future he don' know what can happen,0
The old days of early 2000 Where are my early 2000s gang at 😭 ⬇️,0
Justin Bieber really love you baby song baby baby baby oh you are the best figure is whole wide whale,1
This song can change my mood 😊❤,1
Forever 💞,1
0:28 this song is almost older then me😅,1
Who is here before 3 billion ?,0
Justin bieber the best video,1
Love justin ❤ the one who hated by the world without doing any crime still never forget to make his fans smile and love ❤ You may the most hated person on pop history but at the same time you are the most loved person by your 7.17 crore fans ❤ whatever may be the situation we will always stan for you ❤ whenever you are breaking down just remember one thing your still the biggest Pop star in the world and you will be ❤❤❤❤Just love ❤ and hug for you and brother Justin❤,1
most manliest pop listener (non-michael jackson):,1
"That video by Degenerocity really got me listening back to this like ""damn this pretty fire"".",1
Who just randomly remember this song and came back? 😂😂,0
3B views soon!,1
Find out the truth you tell the little guy ask you take picture of you did and know truth you told her father dreams of to be Taylor Swift,1
I DO NOT KNOW why people hate this song it good,1
It' already 13 years ago,0
Is justin Bieber left singing,1
It' July 2023. Let Us see how many are still watching this 💙,1
This Ossame,1
Only now realize that this song is bigger than me,1
Any one in 2023❤,1
Nice bro super thanks 👌,1
Malayalli undo😊,1
The good old days,1
"TJIENODFJOD,",1
Bro is papeto lendo,1
😂😂,1
0:45,1
wake up every day to turn this song of,1
forte baby baby,1
Justin was in fact him 🗣️‼️,1
This song is still ass 💀,0
🎉🎉🎉,1
Legendry sang.... love from INDIA 🇮🇳,1
"Lyrics Oh, woah Oh, woah Oh, woah You know you love me, know you care Just shout whenever, and will be there You are my love, you are my heart And we will never, ever, ever be apart Are we an item? Girl, quit playing! We are just friends? What are you saying? Said there' another and looked right in my eyes My first love broke my heart for the first time And was like Baby, baby, baby, ooh, like Baby, baby, baby, no, like Baby, baby, baby, ooh Thought you' always be mine, mine Baby, baby, baby, ooh, like Baby, baby, baby, no, like Baby, baby, baby, ooh Thought you' always be mine, mine Oh, for you, would have done whatever And just can' believe we ain' together And want to play it cool, but ' losing you will buy you anything, will buy you any ring And ' in pieces, baby, fix me And just shake me till you wake me from this bad dream ' going down, down, down, down And just can' believe my first love won' be around And ' like Baby, baby, baby, ooh, like Baby, baby, baby, no, like Baby, baby, baby, ooh Thought you' always be mine, mine Baby, baby, baby, ooh, like Baby, baby, baby, no, like Baby, baby, baby, ooh Thought you' always be mine, mine Luda! When was thirteen, had my first love There was nobody that compared to my baby And nobody came to between us or could ever come above She had me going crazy, oh, was starstruck She woke me up daily, don' need no Starbucks She make my heart pound skip beat when see her in the street and At school, on the playground But really want to see her on the weekend She knows she got me dazing Because she was so amazing And now my heart is breaking But just keep on saying Baby, baby, baby, ooh,like Baby, baby, baby, no, like Baby, baby, baby, ooh Thought you' always be mine, mine Baby, baby, baby, ooh, like Baby, baby, baby, no, like Baby, baby, baby, ooh Thought you' always be mine, mine ' gone (Yeah, yeah, yeah) (Yeah, yeah, yeah) Now ' all gone (Yeah, yeah, yeah) (Yeah, yeah, yeah) Now ' all gone (Yeah, yeah, yeah) (Yeah, yeah, yeah) Now ' all gone (gone, gone, gone) ' gone",0
2023 anyone?,1
This ear rape should have been taken down after it was put up,0
For those asking it' now at 15M dislikes,0
this white boy CANNOT dance😂😂🔥 like if agree edit: thanks for the likes guys!,1
"Hi 👋, 2023 and am back here😊",1
"now, this video feel so old. that dance showdown in th eclub. LMAO 🤣🤣🤣",0
Once it was most disliked song .,0
Love you justen 😊❤❤❤,1
Still listening 2023 From Bangladesh 🇧🇩,1
we are just friends what are sayinnn,1
An old flame (first love) is UNFORGETTABLE.. ❤️,1
am really sorry,0
"Shit used to be the most disliked vid on YouTube, now cannot see the count 🧐",0
can' understand why hates Justin 🙂 But he is best singer in my world 🌎🌍,1
It’ July 2023 and thought would be the only one still here 💀,1
Its July 2023 ❤,1
"If got to work with luda at that age, would have been so starstruck",1
You know you love me,1
2023 anyone?❤🥰,1
Dawg is that drake at 2:02,0
te AMO JUSTIN,1
"You know you love me, know you care (Yo, uh-huh) Just shout whenever and will be there (Yo, uh-huh) You are my love, you are my heart (Yo, uh-huh) And we will never, ever, ever be apart (Yo, uh-huh) Are we an item? Girl, quit playin' (Yo, uh-huh) We are just friends, what are you sayin'? (Yo, uh-huh) Said, ""There' another"" and looked right in my eyes (Yo, uh-huh) My first love broke my heart for the first time, and was like (Yo, uh-huh) [Chorus: Justin Bieber] Baby, baby, baby, oh Like baby, baby, baby, no Like baby, baby, baby, oh Thought you' always be mine, mine Baby, baby, baby, oh Like baby, baby, baby, no Like baby, baby, baby, oh Thought you' always be mine, mine [Verse 2: Justin Bieber & Ludacris] Oh, for you, would have done whatever (Yo, uh-huh) And just can' believe we ain' together (Yo, uh-huh) And want to play it cool, but ' losin' you (Yo, uh-huh) will buy you anything, will buy you any ring (Yo, uh-huh) And ' in pieces, baby, fix me (Yo, uh-huh) And just shake me till you wake me from this bad dream (Yo, uh-huh) ' going down, down, down, down (Yo, uh-huh) And just can' believe my first love won' be around, and ' like [Chorus: Justin Bieber] Baby, baby, baby, oh Like baby, baby, baby, no Like baby, baby, baby, oh Thought you' always be mine, mine Baby, baby, baby, oh Like baby, baby, baby, no Like baby, baby, baby, oh Thought you' always be mine, mine (Luda) When was thirteen, had my first love There was nobody that compared to my baby, and nobody came between us nor could ever come above She had me going crazy, oh, was starstruck She woke me up daily, don' need no Starbucks (Woo) She made my heart pound, and skip beat When see her in the street And at school on the playground, but really want to see her on the weekend She knows she got me dazing Because she was so amazing And now my heart is breaking But just keep on saying [Justin Bieber:] Baby, baby, baby, oh Like baby, baby, baby, no Like baby, baby, baby, oh Thought you' always be mine, mine Baby, baby, baby, oh Like baby, baby, baby, no Like baby, baby, baby, oh Thought you' always be mine, mine ' gone (Yeah-yeah-yeah, yeah-yeah-yeah) Now ' all gone (Yeah-yeah-yeah, yeah-yeah-yeah) Now ' all gone (Yeah-yeah-yeah, yeah-yeah-yeah) Now ' all gone (Gone, gone, gone, gone), ' gone",0
Bieber era never gets old,1
So we all just going back for this hit?,1
Loved........hated on......most loved now......we really can' make up our minds,1
did anyone know this video has over 10m or 11m dislikes? (not trying to be rude but if no one likes this comment will delete it),0
"Late 2000s Justin Bieber looks like one of those little shits in those ""FaMiLy VlOgS"" videos that you just want to bully and beat the shit out of",0
Good🎉🎉🎉🎉🎉❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤🎉🎉🎉🎉🎉🎉,1
see myself as you,1
😊,1
this song is awesome,1
"Hello, ' from Indonesia, where are you from?",1
what quality of video 13 years passed still,0
Very nice song.,1
love this song its my favorite 🧡❤❤❤❤❤,1
Drake is in the video. What pus pus,0
2023 6 29😊,1
He strong at IU,1
One time come to malaysia,1
Nice song,1
This song will never be old! ❤,1
2023 ?,0
miss the time when first hear this song on FM radio in 2010. Now ’ old sigh. Miss the time that ’ in high school,0
"😊Justin inspired me to go all in with my music . He was just like me , an artist trying to get heard .And now he' on top. It' happening for me , and ' not stopping when it does !❤",1
Just listen now days about yourself from Facebook videos (Project nightfalls) and back to your YouTube channel... Huge love from Pakistan and stay strong dear😊,1
Nostalgia,1
"like Justin' songs, but don' really listen to him. Not to be rude, always thought women sang this 😭 never saw the music video or heard that it was him.",0
"Wow 3,000,000,000 🔥",1
💘🖤,1
2024 😊,1
my name is alaa and love this song ooooooooooooooooooooooooooohhhhhhhhhhhhhhhhhhhhhhhhhhhh,1
Justin Bieber awesome,1
"Wait, people actually like this song?",1
"At my 31st year, ' getting the chill feeling, being bachelor",1
like your Beats and your record.,1
white baby oh ... white baby ... bay.... bee 💋,1
Male adulthood is when you realize this actually goes hard,0
"Good morning, Tennessee",1
Best part 3:38,1
JUSTINNNNN ❤,1
Childhood memories unlocked ❤,1
Better than rap shit,1
I Am sorry for hating you are songs fire,0
This song it' are Amazing ❤ Love you❤,1
He sounds lika 10 year old girl.,1
"Man ' old, he' old too . Taylor,JB, Akon, MJ. That was my playlist back in early 2010s. These days stll listen to Taylor as 28yo dude.",0
"Not to be rude, but he sounds like woman.",1
So many years and still jamming to this songs after few beers,1
"Lol hate this guy for no reason back in the days, but today love this song coz every club plays this song hahaha",1
this song older than me.,1
I Am here so can continue my hatred and dislike for this song and the lil guy forever,0
Justin Bieber get chingy on your album and make video to the song,1
❤❤ make more videos love it,1
