sequence,hf_prediction,hf_predicted_score
didn' even born in 2010 born in 2012 but still know this song awesome,1,0.9728505611419678
If you Viewed near World Cup Qatar 2022 Like😅,1,0.6468812823295593
This song is still popular for me even it has been 12 years!,1,0.9908772110939026
Simpler times... memories,1,0.9579917788505554
2022 we are Here🥺❤️ Dear God protect us❤️,1,0.9952725172042847
great stuff! stick with it,1,0.997953474521637
The feel we get in listening to this song is epic,1,0.9900246262550354
For us Indians this is the first english song😅😂,0,0.7186294794082642
"He still owns the world, may be unaware💜",0,0.9048851728439331
Its been year Old but gold,1,0.993041455745697
its been 12 years but now realised that drake was in the video😭,0,0.9695789813995361
am indian and this song my favourite song 💖🖤💖💖💖💖,1,0.9984311461448669
Ever,1,0.603363573551178
12 years still bumps,0,0.8391693830490112
He was 13 when he sang this song?,0,0.7009913325309753
Time has passed but the vibe is still here in this video 🎵🎵,1,0.9859896898269653
"After seeing what teens are going through in 2022, being teen in 2010 must have been pretty nice.",1,0.5352628827095032
JUSTIN VEN PERU TMRRRRR,0,0.8677273988723755
Who tf just saw drake and tinshae?,0,0.9368970394134521
12 years but mm that song gets me at baby baby ohhh❤,1,0.9819243550300598
🎉❤❤. ju bayr,1,0.9972243905067444
Now it' stuck in my head,1,0.6024247407913208
' known 2 part of this song for one year but my best friend just introduced me to it last week the entire song,0,0.6250882744789124
Me and my brother and my best friend are in the car Listening to that song,1,0.8141371011734009
Legenda,1,0.7349447011947632
The song 've been looking for since 2020. because since childhood 've heard 😀,1,0.9509212374687195
"4,803,816 comments like wow!",1,0.9745744466781616
Lol this music video is hilarious,1,0.9894223213195801
sing the first 4 seconds in my class randomly to make the class laugh,1,0.8914806842803955
Still living❤️,1,0.9972047209739685
just come here cuz my friend said this song have the most dislike lol,0,0.9828649163246155
Just Drew Bieb,0,0.5031439065933228
"It' been 12 years since this song and it' still my favorite song, and listen to it every day",1,0.9883041381835938
This guy is cool,1,0.9972378015518188
Who loves justin bieber?,1,0.9064469933509827
"Recalling my old memories... We were too young, saying only ""Baby..."" Now we can relate the whole lyrics ❤️❤️❤️❤️",1,0.9885473847389221
Who knows Drake was in this video 🤔🤔🤔,0,0.9886593818664551
This sure is popular. Anyone here because of Tipping Point?,1,0.957428514957428
spams,0,0.9581310153007507
te amooooo,1,0.980953574180603
"This song never gets old. No matter how much listen, never get bored....❤",1,0.9949424266815186
The name fans it is sharma boy,1,0.989909827709198
2.8 million views.,1,0.739389955997467
Love this so much cannot stop listening to it,1,0.997803270816803
Literally this was the first English song heard 💚 and this is the masterpiece 💕,1,0.9952198266983032
miss this song when was little ;),1,0.5713074803352356
Most dislike on this video 📹 makes sense,0,0.9960368871688843
Justin Bieber fans like here....,1,0.9936546683311462
🥺💗💗💗💗,1,0.9969741106033325
love song 12 years is ild,1,0.9848921895027161
such good song but by singer so boring that attacked fans,0,0.9233660101890564
Remember my childhood 😌,1,0.9144066572189331
This song synonyms immortal..,1,0.9711135029792786
that song is good but why people hate it,0,0.8611331582069397
My ears still hurt 12 years later,0,0.9531435370445251
You know you love me🫶🏻,1,0.9967402815818787
Anyone else realize there are more likes than dislikes now?,1,0.9794980883598328
love voice..... like this tyips of song..,1,0.993608832359314
Anyone From Bangladesh 🇧🇩❣️🇧🇩❣️? 14/11/2022💙,1,0.9931691884994507
Bro was 1 month old when this song camr,1,0.501143217086792
This comes before Rick astley' never going to give you up,1,0.7924215197563171
First view be like the king of world,1,0.9642940759658813
Its been 12 years yettt Can' get over this song 🥺❤️,1,0.9727631211280823
“Good song.” 🤩,1,0.9959003329277039
Oooh 😁,0,0.984849750995636
qana,1,0.6966465711593628
Until no 2022 its love his songs 😊 in new generations😉 my batch justin 😘♥️,1,0.9957941174507141
"It' Been 12 years, still It' Masterpiece!",1,0.9915423393249512
even his was young at that time but his voice is really appealing and perfect😍,1,0.9883127808570862
Hello 2022 November,1,0.7722923755645752
2022 your watch this video,1,0.6058564186096191
doyouhaveenicool songs,1,0.9867340326309204
Your song is cool,1,0.9969742298126221
Finally became banger,1,0.9949334859848022
why does this sh it have 2.8B views? 😭,0,0.9653757214546204
"You can’ lie, you came back because of nostalgia.",1,0.7489495873451233
Man used to hate on this guy so hard back in middle/high school it was hilarious😂,0,0.867392897605896
love MiguelV2❤❤❤❤❤❤❤❤❤❤❤❤,1,0.997906506061554
we love justin,1,0.9976833462715149
hit frl,0,0.5985435843467712
Is this still the most disliked video on YouTube?,0,0.9901266694068909
ohohohwowhohowww!!!!!😁,0,0.9895763993263245
will always be better music,1,0.8112725019454956
how good is rola,1,0.9876881837844849
"after relistening to this song do not understand the hate, like it is ok for me",0,0.9736708402633667
These girls dump him and want at least hug,0,0.9481202960014343
Broooo,1,0.6216385364532471
Me being like: girl be in love with the man he is famous singer man you are very good at singing 👍,1,0.9854190945625305
Wait what? Why drake is in there though? 🤣🤣,0,0.9200941324234009
"Justin Bieber, Like your songs! ( only heard 2 songs already) is that ok?",1,0.9945322871208191
"remember when was real little, used to say hate this song but in reality loved it. 😭",1,0.549830973148346
Rosanna,1,0.766739010810852
❤ love this theme Baby. God bless you.❤2022,1,0.997377336025238
My Man was 16 when he did this song,1,0.641840934753418
remember good time with this song,1,0.9929630160331726
It' my child hood crush song ND we are getting married 😁😁😁,0,0.923529326915741
YA,1,0.9878787994384766
SHE’ OLDER THEN HIM 😭,0,0.9937201738357544
14m dislkies,0,0.9846353530883789
Dude it' just sooo fuckin' crazy that this kid is now married 😊✨ time flies like hell man 💜 awhhh good old days bruh ✨,1,0.9732608795166016
fav song always🙏🏽😌😍🥰😘🤷🏽‍♀️🤩🫶,1,0.9986740946769714
this song is the song of century Anyone who is borned in 2000s can never forget this,1,0.980217695236206
Same . 7,1,0.867951512336731
JH,1,0.7236513495445251
Jh,1,0.6803306341171265
Now that the dislike numbers are gone........,1,0.5224817395210266
2022 🎉,1,0.9851418733596802
"2022 is going to over,but this song going to never over!!!🔥🔥",1,0.9859296083450317
the him good,1,0.994851291179657
The song is so good that listen to it every day,1,0.9954253435134888
Lol love this song,1,0.9943947792053223
Let' be honest this song is the greatest song ever,1,0.9949926733970642
Who is listening in November 2022,1,0.5583876371383667
feeling very nostalgic !!,1,0.980455219745636
👍👍👍,1,0.997503936290741
love this song 🥰😍😊,1,0.9968100786209106
heard it had 12M dislikes,0,0.9959537982940674
yooo drakee,1,0.9825161099433899
Thanks lot for this masterpiece 👀,1,0.997560441493988
Justin you are just awesome 🎧,1,0.9976053833961487
Just in music 🎶,1,0.9598450064659119
"Ha ha BlackPink have 82,9 million subscribers and you have 70,5 million subscribers 😜",0,0.9247956871986389
So sexy song and love this song justin Biber love you bro♥️🖤🤍,1,0.997478187084198
Best song forever ❤️❤️ Justin looking so much qut 👌👌,1,0.9985464811325073
Anyone else didn' get this recommended but thought and searched this from nowhere 😭,0,0.9813076257705688
When was 13 had my first love 🤧🔥💙,1,0.9772536158561707
will adam coke will 🖐,0,0.9827004075050354
was born in 2014,1,0.6257398724555969
12year ago like song❤,1,0.9941706657409668
Baby baby baby ohhhh,1,0.9908150434494019
1:14 is that drake,0,0.5365549921989441
I Do Not Know why this song has tons of dislikes but not going to lie its pretty underated then the other 2010' music videos the song still good.,0,0.8842133283615112
love you Justin 💗💗😍,1,0.9984106421470642
blastin this song when was 4 and now i am 16 what the hell,1,0.9931842684745789
2.8b views 70 million subscribe 4.8m comments Just wow💥,1,0.9869163036346436
Nice singing 😍😍😍😍😍,1,0.9976271390914917
Did anyone saw Drake in starting ? Lol,1,0.6347805261611938
Love you 🥰,1,0.7617460489273071
"People have been watching this song for 12 years, it' very wonderful song.",1,0.9963377714157104
its amazing to see that Millions of people listen to this song Everyday,1,0.9738918542861938
So energetic song mind fresh song 😍😍😍😍😍,1,0.9968355298042297
Baby boy Justin 😂,0,0.6897323727607727
Song is year older than me and still listen to it on loop at leats 70 times day,1,0.8801637887954712
This will never get old 😍 The era of justin bieber,1,0.9953054189682007
Who else saw drake in the video🗿,0,0.7957594394683838
am happy that this song was released on the date of the year on the date of my birth and it is also my favorite song.,1,0.9970066547393799
He *rizzed* her up,0,0.6362983584403992
He fizzed her up,1,0.9805192947387695
Wtf drake here,0,0.9894319772720337
12 years and JUST noticed Drake there.,1,0.5789415240287781
"pov: my crush comes close, me:",1,0.8758023977279663
me watching this video in 2022：I Am already old,0,0.779041588306427
God bless everyone who reads this exponentially beyond even your wildest dreams!!!!!!!!!,1,0.9964068531990051
👍️👍️👍️,1,0.9978576302528381
Very nice.,1,0.9971720576286316
"Its been 12 years since this masterpiece, i am currently using this to rizz up my spanish teacher, justin i am forever in debt to , RIZZ BRO",1,0.9325428605079651
After long time back to this song🥰,0,0.9946990013122559
1:This song and Dangerous Woman brought me and my sister close after she didn' really like me was like 5... 2:Ludicris really rocks this song 3:' little confused on why the setting was bowling alley but oh well still bustin song,1,0.9962772130966187
sing this everyday,1,0.9154874682426453
🦶🦶🦶🦶🦶🦶🦶🦶,1,0.9751323461532593
This dude hold the recorded for the most disliked video lol until the 2018 rewind video from YouTube now holds it lol,0,0.9939801096916199
Help came for the cringe,0,0.969957172870636
This song was inspired by many things that have happened in my life since releasing my last album. want people to feel hope and to know you will come out the other side stronger and better version of yourself.,1,0.955315113067627
Best thing since waterboarding!,1,0.9888343811035156
pop bitch is the shit do not like,0,0.9926286935806274
Yes this song is awesome the most favorite 🎉,1,0.9980319142341614
Love Love Justin Bieber 😫😫,1,0.9458214640617371
remember this guys music was so good in 1937.,1,0.9492915868759155
"love how this was one of the most disliked videos on youtube, really hope the dislike view count returns",1,0.531029462814331
Id love this song,1,0.9959982633590698
Ngl he was hitting them moves bro was getting sturdy,1,0.9577200412750244
2861,0,0.5724947452545166
Who’ watching this in 2023?,0,0.7011498808860779
think this has more than rick Astley neve going to give up,1,0.990746259689331
remember how everyone hated this song. Compare it with modern songs and you will call this song masterpiece.,0,0.7570809125900269
12 years ago 😳,0,0.9867687225341797
Is it weird that the girl in the video looks lot like Selena Gomez at some times🤔,0,0.9430004358291626
"😂 This song used to play in every fcking single club during 2010-2012. miss my YOUTH days, the University years when had the best moments of my life. Fcking nostalgia. 😭",0,0.9696646928787231
CRITkft,1,0.6566671133041382
"stay weadd you,always.Yra/.. ♡ ☆☆☆☆☆☆☆Ywettexette . Too sir JBa Lowe you",1,0.9974197745323181
12-11-2022🔥,0,0.9799922108650208
"Honestly, for the past 12 years just saw Drake on 1:15",0,0.673302412033081
2022🥰❤,1,0.9974865317344666
Justin Bieber of bady dabolw whach you,0,0.9863128662109375
💦😍,0,0.8510332703590393
Ngl this song was hit back then,0,0.5868043303489685
"never thought that the song love 12years ago, is now my first born child favorite song ❤️ she consistently play this music and singing it.. By The Way. It' 2022 😁",1,0.9954932332038879
still legendary..,1,0.9785279631614685
"it was decades ago boys was simping chasing girls . but nowdays boys be like TOP ,JOHNSON PETERSON, KEVIN SAMUEL, SO ON",0,0.6065614223480225
This is so ugly and boring song,0,0.9935370087623596
Great song,1,0.9971415996551514
Who watches this masterpiece still it never gets old such good song,1,0.9876487851142883
AAAA,0,0.582645833492279
Let Us see how many people still listens this song 🎶,1,0.8264057636260986
not going to lie this song is still the lick,1,0.9140182137489319
Mom son' wedding 💒💒,1,0.9977836012840271
like this song ❤,1,0.9976370334625244
😂😂😂😂😂 love your singing,1,0.9910914897918701
2022 Here,1,0.5037696957588196
😍😍😍😍😙😘😚😎💜💛❤💙,1,0.9984263777732849
Who Is the girl? Just asking . wonder where she is now,0,0.7686964869499207
Mind Blowing... Childhood fav...,1,0.9931035041809082
This song is kind of underrated compared to other early-2010s songs. It deserves so much more love.,0,0.6133314967155457
stille love this song 🥺💜,1,0.9982592463493347
Sach me this song so best nice song thankyou Justin Bieber 🤗😃💗✨📎🌍,1,0.9983567595481873
12 years old and still listening to this great song,1,0.9928953647613525
🎇🎇All time favourite 😍😍,1,0.9983752369880676
"Where are you my baby, you seem to be an alien, that' why you are taking so long to come to me😔",0,0.9906029105186462
Where are you my baby😭,0,0.9939824938774109
Good memory,1,0.9960958361625671
Who' still listening in 2022 * * * Like,1,0.9851081967353821
can' get your songs out of my bed,0,0.9937769174575806
Nice song got to say,1,0.9949362277984619
"' leaving this comment here so after month or year when someone likes it, get reminded of this song♥️♥️🌺",1,0.9947224259376526
Is the best Justin,1,0.936655580997467
Who else here 2022 November to listen this Masterpiece❤,1,0.9959033131599426
Nehdge,0,0.5677394866943359
Nice song 👌🔥 sute Justin,1,0.99591463804245
bet it’ amazing for him to see him self maturing have no videos of my self this perfect pictured,1,0.9762060046195984
baby baby oooooooooooooooh......... is the best song ever,1,0.9956778287887573
Song is so look cool am also on YouTube,1,0.9968026280403137
Anyone here?,0,0.6561254858970642
my 7 month old son is crazzzyyy for this song.starts jump whenever hear 😄😄😄,1,0.950982928276062
this music makes me wake up every day :),1,0.997855544090271
This song will never die,1,0.9640234112739563
were getting old but this song is not.,1,0.9431498646736145
12 years and still listen to this song love this song so much,1,0.9930823445320129
Prime Justin Bieber,1,0.9775703549385071
when was like 4-6 loved this song,1,0.9953950643539429
💖💖💖💖💖💖💖💖💖💖💖💖💖💖😘😘😘😘😘😘😘😫😫😫😫😫😫🤑🤑🤑🤑🤑🤑🤑🤑🤑🤑🤑🤑😌😌😌,1,0.9590025544166565
Jn,1,0.6772264242172241
We Gon talk about how them kids were getting sturdy 1:56,1,0.7683991193771362
So excited seeing Justin Bieber release his first song and after me watching it😑😑😑😑😑😑😑😑😑😑😑,1,0.9770611524581909
It was the first song.... And Then start listening to all songs...He is just too awesome...😍😍😍,1,0.9938496947288513
"just want to know , whow old was him when he sing this 😖",0,0.9869834184646606
2022 👇,1,0.879665195941925
big fan of the song,1,0.9972407817840576
Hmm,0,0.9230229258537292
@thepoetpranjalbhardwaj,1,0.8280384540557861
Very very nice song❤,1,0.9979186654090881
going to sing it on children day,1,0.8880339860916138
Fr have song of me singing this when was 1yr,1,0.7818297743797302
Even in INDIA this song was most famous english song,1,0.8635892868041992
Nice song 💖💖💖,1,0.9982424974441528
2:38,0,0.5492526292800903
Why do people hate this song??,0,0.9848573803901672
4 months after this was released was born.,1,0.523612380027771
was 13 when listened this song first time👍👍,1,0.9913487434387207
"When was 16 years old found my first love, until we started dating.. But not long after education and distance separated us, until we finally broke up. And after he was no longer in love that was so deep after that.. This feeling still lingers until was 23 years old.",0,0.661645770072937
Ccdfg,0,0.5365352034568787
have been listening to to this song for years but today is the first time noticed Drake,1,0.6796776652336121
@crazyfuntv4,1,0.657411515712738
have crush that loves this song,1,0.9879156947135925
"can, believe its been 12 years because this song is suparcalifragilisticexpialidocious",0,0.9281716346740723
baby baby baby ohh 💀💥,1,0.9983422160148621
"When this song was released wasn' born ,and now am just 13 yrs hey Justin love from Nepal 🇳🇵💖",1,0.9570104479789734
got rizz bieber😂,1,0.5028554797172546
Nice song it' still not old,1,0.9956097602844238
12yrs but its 2022 🥴 Still shines 👀🎧 Still listeners are here 🙋,1,0.9887609481811523
miss this Justin,0,0.9624329209327698
"If Aaron Carter didn’ get addicted to drugs, Justine Bieber is nothing to him. 😢❤ but love justine too and my daughter loves his songs too.",1,0.6184062361717224
was 6 when this came out 😭😭 i am now 18,0,0.9920446276664734
was 4 when this song came out,1,0.7956351041793823
know this song when was 5 year old,1,0.7736453413963318
Baby: The most hated song in the 2010' Also Baby: has resurgence because of the 2010' kids that vindicated said song,0,0.9474509358406067
Just like this song when ' 13 had my 1st love🥺💖,1,0.9962191581726074
Anyone noticed drake😃in this mv,1,0.5104758143424988
Is that drake in min 1:14,0,0.5714846253395081
Gallant younger brother!!!,1,0.99643474817276
That' the Best SONG,1,0.9912621974945068
Hallo 'from 2039👋,1,0.8832597136497498
like this so much 😍,1,0.997140109539032
Best song of all time 🥰,0,0.5847861170768738
watched this song after 12 years 💓💓💓💓💓,1,0.9978483319282532
Rodrick Heffley >,1,0.6308309435844421
baby🥵🥵🥵,1,0.9968191981315613
"Say what you want lol, this was always bop 😂",1,0.9885472059249878
Aap apni YouTube channel se mujhe help kar sakte ho,1,0.8975000381469727
Aap apni YouTube channel se mujhe help kar,1,0.8970048427581787
Aap apni YouTube channel se mujhe help kar sakte,1,0.8978816270828247
Aap apne YouTube channel se mujhe help kar sakte ho,1,0.8938441872596741
Aap apni YouTube channel se mujhe help,1,0.8979229927062988
Tumhen tumhari YouTube channel thi maine help kar,1,0.9539433717727661
This song is awesome,1,0.9964642524719238
How old are you?,1,0.5111514925956726
"in 2010 when he released the baby vid the whole world started hating him coz 16 yo old boy was flirting nd doing stuff..so evronyone was like..huh who this boy thinks he is"""" and he has the 2nd most disliked video in yt history😞..thanks to youtube rewind 2018",0,0.9944764375686646
"Bruh my vomit bucket is overflowing, my ears are bleeding, can’ handle this any more.",0,0.996813952922821
love drake in this video 😂,1,0.9891600012779236
Its November... Let Us see how many listening this melody ❤️,1,0.9967675805091858
am from Indian liked your song,1,0.9983709454536438
love it if wish can see you in my furture,1,0.9958616495132446
Youtube is the closest we are going to get to time machine,0,0.5800589323043823
12345,0,0.5663530230522156
JESUS is coming soon and JESUS is the only way to Salvation accept JESUS as your LORD and Savior today before it is too late,1,0.7692498564720154
Don' take the vaccine trust in The LORD ALMIGHTY,0,0.7992179989814758
VinJulian. Julian. 5. 6,1,0.7514951229095459
5Julian. 6Julian,1,0.8804106712341309
ZOEY. ZOEY. Julian. . Cuenca VinJulian. Cuenca,1,0.7614464163780212
love this song. best song ever 🥰🥰🥰🥰,1,0.9971523284912109
It was cringe when it released and it' still cringe now,0,0.9944117665290833
BEFORE and after Baby: *Like 13 years old like me* After: *28* changed lot in life 😂,0,0.8368992209434509
I Am sooo jealous of this life,1,0.9610474109649658
This song came out when life was much better,1,0.9367979168891907
Awwww,1,0.9796911478042603
You look like my brother,1,0.9166991710662842
Back then we had no smart phones..My brother had downloaded most of his songs on the computer and this song was my most fav so had to insist my brother 1000 times to play this song...Those days ❤️,1,0.9942171573638916
Fun fact- the whole world was singing to this 12 yrs ago,1,0.9619401693344116
This ain' that bad right?,1,0.9324094653129578
Bro this is so cringy😂,0,0.99555903673172
🤍💙❤️,1,0.998132050037384
Why tf is no one mentioning that he sounds like woman?,0,0.8853217959403992
justin the great singer in the world,1,0.9857736229896545
like song,1,0.9839922785758972
😁🤙,0,0.9901533126831055
The song is never get old .,1,0.9837037920951843
You are real Justin beiber am very real Justin beiber,1,0.9821469783782959
In 3030 it is the best song,1,0.9922013878822327
Being an Indian this was the first Hollywood song 've heard 🥺 nostalgia hits!!,1,0.9453733563423157
like this song 💞,1,0.9293192028999329
Christian 😍,1,0.9760122895240784
"pretty girl ,to love me for the honest ,fair guy am ,is what wish for ,not to be insulted by so many who think they are all that by calling me ugly when it’ not my fault ,and so on,so many of them were very mean to me, I Am not saying all girls are , just want one to see the good have , seriously hate bullies and evil people and unfairness. girl to be mine,from head to toe,is what deserve and need,if can’ have that then can at least get even with the bullies who ruined my life somehow?????Karma??",0,0.8906775712966919
Who are Listening 🎧 in 2023 😁❤️,1,0.9912527799606323
still searched listening.2022,0,0.6544429063796997
2022 anyone' here too 👀,1,0.9354643225669861
"When was 13, had my first love Ahdhdenbdjxidienebdjxkxksvd",1,0.5770238637924194
Cool 💗this song been watching this song love it so much❤️❤️💞,1,0.9984203577041626
Ayaaangg,1,0.6425248980522156
Comment section still active wow 😱🔥💕👌,1,0.993829607963562
love you Justin 💓💓💓💓💓💓💓💓💓💓💓💓💓💓💓💓💓💓💓💓💓💓💓💓💓💓💓💓💓💓💓💓💓💓💓💓💓💓💓💓💓💓💓💓💓💓💓💓💓💓💓💓💓💓💓💓💓💓💓💓💓,1,0.9981736540794373
By we iris and by we 2424 Apr 24 now with her 💍👨‍👩‍👧‍👧 on end dead at call of duty,0,0.9488868713378906
Ass song,0,0.9805995225906372
"Once wise man said""Memories are always special. sometimes we laugh by remembering""the day we cried, And we cry remembering the days we laugh....that is life",1,0.8570711016654968
Most of the young asian people' first english song is baby:,1,0.5987754464149475
"BABY Oh whoa (×3) You know you love me, know you care Just shout wherever and will be there You are my love, you are my heart And we will never ever ever be apart Are we an item? Girl quit playing We are just friends. What are you saying? Said there' another and look right in my eyes My first love broke my heart for the first time And was like... Baby, baby baby ooh Like baby, baby baby nooo Like baby, baby baby oooh though you are always be mine (mine) Baby, baby baby ooh, Like baby baby baby nooo Like baby baby baby oooh though you are always be mine (mine) Oh, for you would have done whatever And just can' believe we ain' together And want to play it cool, but ' losin' you will buy you anything, will but you any ring And ' in pieces, baby fix me And just shake me 'til you wake me from this bad dreams ' going down, down, down, down And just can' believe my first love broke mybheart for the first time And was like Baby, baby baby oooh Like baby, baby baby nooo Like baby, baby baby oooh though you are always be mine mine Baby baby baby oooh Like baby baby baby nooo Like baby baby baby oooh Though you are always be mine mine RAP LUDA! When was 13, had my first love There was nobody that compared to my baby And nobody come between us or could ever come above She had me going crazy, oh, was star struck She woke me up daily, don' need no starbucks She made my heart pound, it skipped beat when see her in the street and at school on the playground but really want to see her on the weekend She knows she got me dazing because she was so amazing And now my heart is breaking but just keep on saying... Baby baby baby oooh Like baby baby baby nooo Like baby baby baby oooh Though you are always mine mine Baby baby baby oooh Like baby baby baby nooo Like baby baby baby oooh Though you are always be mine mine ' gone (yeah yeah yeah, yeah yeah yeah) Now ' all gone (yeah yeah yeah yeah yeah yeah) Now ' all gone (yeah yeah yeah yeah yeah yeah) Now ' all gone",0,0.7857186794281006
"It' been 12 years, still stuck in head. Great song everyone' favorite all the time.",1,0.9597383141517639
🐲👍👌🚬🏍🎭💘⏳♨👀💭✌🎃🕊🕯📱🎲,1,0.9963763952255249
This is old,0,0.9310119152069092
like song 🎵,1,0.98908531665802
cringe didn' exist back then,0,0.7348757386207581
Still watching !! ❤️✨️,1,0.9967988133430481
remember the first of days😢,0,0.984923779964447
Yeye,1,0.6470433473587036
Justin Bieber .fun,1,0.9935897588729858
"Nice song 2008,",1,0.9954197406768799
hood classic!!!,1,0.9877290725708008
remember those days...no idea for youtube but waiting for this song from radio.,0,0.5450764894485474
"played this song when closing and my grown up coworker started jamming and everyone started singing the lyrics. was unfortunately not given access to technology and wasn' really popular in those days so didn' know this song. But when this happen, felt the nostalgia along with everyone else.",1,0.9601280689239502
here bcs miss yedam :(,0,0.995495617389679
😝🤤,0,0.5002622008323669
searched for this song 11 since last year,1,0.5472344160079956
Yo this song was in my head for like 3 hours after school and was like bro do not mind if play this. think saw Drake as well when his friend were chilling and looking at Justin sing,1,0.9715055227279663
I Am singing the justin Beiber the baby😎,1,0.9043169617652893
Common guys . am giga Chad and honestly we used to bang this in our 2000 corolla with hella expensive Sony speakers with my chad group singing this as loud as we can. It was fun and are memories.,1,0.973395824432373
justin beaver,1,0.7067179083824158
12years still stuck but no gud,0,0.8544123768806458
goated song fr,0,0.9548757076263428
Nostalgia♡,1,0.9935925602912903
So gooooooddddd ❤❤❤❤❤ Love you Justin 😘😘😘🥵🥵🥵🫦🫦🫦,1,0.9988769888877869
Haters say this song sucks but it doesn',0,0.9324894547462463
"love how justin sounds about what, 8 years old but he was 15-16 if not older 🤣🤣 Plz don' take this as hate comment plz lol",1,0.9059553742408752
😻😻💖😍🤩🥰😇🌺,1,0.998295247554779
He is my crush.,1,0.9795041084289551
🇫🇮🇫🇮🇬🇦🇫🇮🥰🥰🥰🥰,0,0.5650041103363037
The bullshit people are commenting on how good this song is makes me think the world needs to consider medical sterilization,0,0.8604492545127869
thought you' always be miiiiinnnneeeee,1,0.9909817576408386
Aa,1,0.8518977165222168
am listening this to make my mood better😍😍,1,0.9965893626213074
still good November 2022,1,0.9962972402572632
Brillent,1,0.9977906346321106
Gu kha Justin gu kha Justin,1,0.899409830570221
proposed my lover on this song,1,0.9533653855323792
It is 12 yr old but it doesn' matter because if you just comment you can see under 10 min you got views This is called melody ever time green,1,0.8634529709815979
remember this song during i am elementry school😂 i am always dance with this song,1,0.8699930906295776
"Even after 12 years, this song still sucks",0,0.9938364028930664
