sequence,hf_prediction,hf_predicted_score
This songs never get' old. My first English song😌🔥🤚,1,0.9862097501754761
1:21 it is that drake lol,1,0.5865135788917542
Lol Justin is really baby in this song!,1,0.9279824495315552
This was just literally uploaded on my bdyyyyyyyyyy,0,0.7200573086738586
Well looks like this isn' the most disliked video the dislike button got removed lol,0,0.9817123413085938
Nice nice 👌!!!!!!!!!!!,1,0.9979942440986633
Ve Gd,1,0.6381723880767822
love from indan 🇮🇳,1,0.9968869686126709
The moment of truth is what we know about,0,0.5272009968757629
This isn’ the most disliked video on YouTube now,0,0.7507474422454834
come from Hong Kong to see This is the best song 真係*你老母,1,0.9923676252365112
This song always makes me smile for some reason :),1,0.9965000152587891
Wonderful song ❤️,1,0.9982553124427795
Just onlly 93 subscriber,1,0.7451257109642029
another year of this song❤️,1,0.9973546266555786
25th of April 2022,1,0.512066125869751
Justin Bieber mom remembers this voice. Justin Bieber never that voice it’ auto tune,1,0.7379195690155029
"since day one everyone has shat on him and his career because of how “cheesy” and “gay” he was when he was when he came out with music like this, but guess what? bro was getting the BAG from this ONE single at 16 years old. can you all say the same? no… no you can’ 💯",0,0.9228321313858032
Who is here after tiktok,1,0.5024793744087219
Omg this song takes me back to my teen days not care in the world oh how the world has changed,1,0.8599209189414978
Go to up ugh to,0,0.9892300367355347
"Guys guess what? Sunday, 24th of April 2022. It was my first time watching Justin Bieber never say never movie.",1,0.5236997008323669
1 . No use bad word 2. No violence 3. This song very sweet 4.this song touch my heart Love you its song,1,0.9972004890441895
It' always weird hearing how high his voice was,0,0.7783470749855042
Baby Baby Baby Ahhh Baby Baby Baby Ahhh Baby Baby Baby Ahhh,1,0.9892893433570862
me trying to win my ex back,0,0.7350865602493286
April 25 2022: ' still listening to this song😁,0,0.9903067350387573
Why this shit,0,0.9797554016113281
Hi Justin ’ so sorry can’ make it to your Constert feel so bad can’ talk to you and can’ make it on my birthday,0,0.979438304901123
If never Listen to the song you had bad Childhood,0,0.984894871711731
Guys.. It' April 2022🤌,0,0.9080266952514648
Yeah It' heart break song lyrics But the beat made it cool....,0,0.7485107779502869
just noticed drake is in the music video,1,0.7260082364082336
Nice line,1,0.9942224621772766
Hey🙂,1,0.991416335105896
Who stills loves him 😩😩,0,0.7688644528388977
Me watching this video be like:How the heck isn’ he embarrassed……,0,0.9799165725708008
Justin ’ huge fan This is kind of weird question but have you ever had braces because my dentist know this is weird but oh my dinner so will have to have braces and heard they hurt when you get them tightened and off and usually when listen to your music it calms me down and ’ just huge fan and know it’ weird question,1,0.9794793725013733
he is melting everybody' heart with his vocals and comeback!!!! He is Cool Guy,1,0.9955614805221558
