sequence,label
redheartredheartredheart backhandindexpointingdown amazing stay blessed stay safe amazing rest dayand hope everyone finds inner peace redheart,1
wizz,1
born year song came lamo,1
elegant vice clamp,1
august two thousand twenty-three,0
like video funnythumbsupthumbsupthumbsupthumbsup,1
amooo,1
ola,1
back two thousand twenty-three two thousand ten best vibes,1
thumbsupthumbsupthumbsupthumbsupthumbsupthumbsupthumbsupthumbsupthumbsupthumbsupthumbsupthumbsupthumbsupwavinghandwavinghand,1
many likes comment get,1
time superstar flexedbicepsflexedbicepsflexedbicepsflexedbicepsflexedbiceps,1
love itredheartredheartredheart,1
reminds rodrick hefffly singing,1
litterly still listening 2023facewithtearsofjoyredheart,1
lol,1
someone august two thousand twenty-three,0
someone august two thousand twenty-three,1
cryingface2023 come guyspartypoppercryingface,0
two,1
nice bro bangladesh redheartredheart comeing visit canada brother redheartredheartredheartredheartredheart,1
wowgrinningsquintingfacegrinningsquintingfacegrinningsquintingface,1
today facewithtearsofjoy,1
voderbalo,1
vodai,1
meet self comments two thousand twenty-four,1
best song ever redheartredheartredheartredheartredheart,1
thinking song singed girl,0
justin old vs two thousand twenty-three,0
favv eraaakissingfacewithclosedeyes,1
good song redheartredheartredheartredheart,1
love songgg redheart,1
younger son favourite,1
goofy ah song ever made child,0
kiska favorite song smilingfacewithsmilingeyes,1
time pass get older song remain heart forever redheart,1
really moving hear voice justin bieber still childredheart,1
good partypopper,1
need lofi version song smilingfacewithsmilingeyes,1
boys grown upcryingfacecryingfacecryingface,0
anyone noticed drake thinkingface hmmm,0
hate growing still listening two thousand twenty-three redheart,0
love,1
baby sparklingheartbabybottle baby babybottlesparklingheart baby babybottlesparklingheart baby sparklingheartbabybottle baby sparklingheartbabybottle,1
nineteen,1
think quiting music meantime get well soon justin,0
hearthandshearthandshearthandshearthandshearthands,1
two thousand twenty-three pog,0
still hate song honest,0
justin bieber song fallen love always,1
cringe button backhandindexpointingdown,0
goood,1
faceholdingbacktearssparklespeoplehugging,1
dumb,0
yeah,1
sorry hating much bieber baby isfirefirefire,0
justin bieber terence name,1
watch two thousand twenty-three,1
thought girl game shakers,1
woowamzing music two thousand twenty-three,1
becoz breakup two thousand fourteen think song also came around period even love song would use ignore becoz breakup amazing lyrics music everything,1
zesty festival first signed sigma,0
pakistan song famouse partypopper song wow osampartypopperredheart,1
two thousand twenty-three let gather,1
still masterpiece two thousand twenty-three,1
humming firstwant hear,1
song disliked song videobut song hated reason,0
people hate time,0
hellooooo,1
girl selena gomze,1
accept fact song going thirteen years ago,1
one thousand ten,1
chillhood song still listeningredheart,1
2023musicalnotes,1
remember 10yrs old age used sing song school redheartredheart remembering days loudlycryingfaceloudlycryingfaceloudlycryingface,1
man used wear supra back rollingonthefloorlaughing,1
man full emotions,1
drake one hundred fifteen,0
nice,1
guilty pleasures really supposed guiltyfeeling care song fucking bangs,0
remember song played prom girl came stage rapped whole verse,1
two thousand ten people come song two thousand twenty-three people come views likes,1
favorite song timeless never get old redheart,1
three billion coming smilingfacewithhearts,0
baby baby oh like baby like baby baby oh,1
nah know recommendation never like anyone spits fans puppies,0
message every person yet converted islam peace upon follow guidance heart life happy worried upset heart shaken entering islam remaining addressing heart something within wants islam hesitant perhaps afraid brother live beauty islam sweetness islam mercy islam time heart wake negligence time return god lord worlds entering islam tired path satan disbelief look light within leave dark side take darkness heart enter light leads truth hear word allahu akbar allahu akbar call prayer notice god greater worries greater everything capable changing course life blink eye aslam peace upon rest rest assured happy heart radiates happiness mercy satisfaction brother god sent prophet muhammad people last messengers prophet happiness except religion religion islam last time would tears fear god praying guide right path forgotten god god one one intermediary god religion islam call upon whenever want sees hears taste sweetness god monologues islam call upon islam proof removed mind darkness partner god neither partner son god one begets begotten one equal invite heart known sweetness islam mercy islam enter ask god open heart islam get yes take bath say bear witness god god muhammad messenger god feel words feel comfort heart felt throughout life,1
listening song two thousand twenty-three august indexpointingattheviewerfire,0
since ten twenty-three justin still man,1
5m 3b views,1
justin bieber made life better,1
3billion views redheartredheart,1
yea checking still pice shit,0
although young sings well deserves ten song points,1
august two thousand twenty-three song never get old,1
waw,0
august two thousand twenty-three,1
song straight like,1
never ever ever apart,1
ever timeredheart,1
coming back,0
three billion mark,1
hit 3b,1
nostalgia right,1
biebs helped get tough times college never forget music playing car someone rearended highway way back class car spun across four lanes somehow one else hit ended side highway stunned one piece,1
live songredheartsmilingfacewithsmilingeyes,1
lisa blackpink audition song,1
great song redheart,1
ngl thought girl singing first time listened without video,1
hi,1
two thousand twenty-three anybody,0
would expect 4th disliked video,0
small reindeer red cowards exist swear bad luck,0
ten years ago justin bieber watches five times know lyrics,1
believe drake never noticed,0
mujhe innocencettt lovechahiye,1
aap abhi se border cross kr gaye old age think aapki,0
still listening 2023smilingfacewithsmilingeyes,1
honest kind mid bad ig know,1
worst song ever,0
fav human ever,1
two thousand ten baby baby baby two thousand fifteen sorry sorry sorry two thousand twenty yummy yummy yummy two thousand twenty-five,1
2010baby baby baby 2015sorry sorry sorry 2020yummy yummy yummy 2021stay stay stay,1
cute redheartfacewithopenmouth,1
still two thousand twenty-three,1
buy anything anyring like tell mefacewithoutmouth,1
love,1
never forget hearing justin bieber first time neighbors house summer one girl song playing goes justin bieber reply like twelve fourteen goes idiot sixteen immediately intrigued facewithtearsofjoy,1
god,1
2023redheart,1
knows justin bieber tik tok profile,1
wow,1
wow,1
really good person justin beiber redheartredheartredheartredheart,1
30000com098,1
smilingfacewithsmilingeyesbeatingheartbeatingheartbeatingheart,1
justin brought oldest daughter nd som much closer wuz dude nd dad wuz going make dream meeting reality ty jb giving baby dreams goals nd aspirations got dream ya heard partypopperredheart,1
legendary people two thousand twenty-three,1
sun justin bieber,1
2023redheart,1
lame song,0
seventeen still listening masterpiece first listen fifteen redheart,1
bit way feel happy live era cr7 jb faker greenheartgreenheartgreenheartfourleafclover,1
master piece two thousand twenty-three,1
time favorite song love justin greetings india redheartindiafaceblowingakiss,1
one hundred fourteen changed title justin bieber baby ft ludacris drakerollingonthefloorlaughingrollingonthefloorlaughingrollingonthefloorlaughingrollingonthefloorlaughing,0
old good days,1
one best song time one greatest singer,1
matter many years pass song always stay heart foreverredheartsparkles,1
2023facewithtearsofjoy,0
ohhhh ahhhh know love know care shout ever love heart never ever ever apart,1
really really miss smcryingface,0
song nice song stay hearts forever love jb twohearts,1
300crfacewithopenmouthheartonfirestarstruck,0
love jbpurpleheartpurpleheart,1
listening song two thousand twenty-three,1
ohoohwhoaohohohoh ohoohwhoaohohohoh ohoohwhoaoh ohohohoh know love yo know care uhhuh shout whenever yo uhhuh love yo heart uhhuh never ever ever apart yo uhhuh item yo girl quit playin uhhuh friends yo sayin uhhuh said another yo looked right eyes uhhuh first love broke heart first time like yo uhhuh baby baby baby oh like baby baby baby like baby baby baby oh thought always mine mine baby baby baby oh like baby baby baby like baby baby baby oh thought always mine mine oh would done whatever uhhuh believe together yo uhhuh want play cool yo losin uhhuh buy anything yo buy ring uhhuh pieces yo baby fix uhhuh shake til wake bad dream yo uhhuh going oh uhhuh believe first love around like baby baby baby oh like baby baby baby like baby baby baby oh thought always mine mine baby baby baby oh like baby baby baby like baby baby baby oh thought always mine mine luda thirteen first love nobody compared baby nobody came us could ever come going crazy oh starstruck woke daily need starbucks woo made heart pound skip beat see street school playground really want see weekend knows got dazin amazin heart breakin keep sayin baby baby baby oh like baby baby baby like baby baby baby oh thought always mine mine baby baby baby oh like baby baby baby like baby baby baby oh thought always mine mine gone yeah yeah yeah yeah yeah yeah gone yeah yeah yeah yeah yeah yeah gone yeah yeah yeah yeah yeah yeah gone gone gone gone gone,1
lil mf everyone chokehold back,1
realize drake music vid,1
poor justin hitting girls 2years oldler,0
chat,1
good morning nice day,1
old memories nice songredheart,1
india song always heart redheart,1
justin bieber guys kissed last thought guys kiss cuz guys kissed like yeah justin bieber girlfriend yeah justin bieber girlfriend,0
damn years later realise drake vid well,0
thank god see dislikes anymore,1
cool guess watching thispartypopperpartypopperredheartredheartredheartredheartpartypopperpartypopperpartypoppercryingfacepartypopperpartypopperpartypopperpartypopperpartypopperredheartredheartredheartredheartredheartredheartsmilingfacewithsmilingeyessmilingfacewithsmilingeyessmilingfacewithsmilingeyes,1
still listingsmilingfacewithhearteyes,1
song came best moments lives happy know,1
sis likes wants marry,1
boss dancer,1
everyone hanging teenager,1
best babypartypopper,1
goddamn hate come back skullskull,0
drake,0
anyone two thousand twenty-three facewithtearsofjoy,1
ah yes good old days,1
love sir justin music music reason love got addicted music thank,1
rather listen baby shark repeat ten hours rather hearing shit skull,0
bring many memories cryingface,0
many international fans hereraisedbackofhand,1
never knew justin beiber song thought chick singing,0
song never get oldthumbsupheartsuit,1
afraid listen song public thinking people make fun older understand wrong people jealous,0
smilingfacewithhearteyessmilingfacewithhearteyessmilingfacewithhearteyessmilingfacewithhearteyessmilingfacewithhearteyessmilingfacewithhearteyessmilingfacewithhearteyessmilingfacewithhearteyessmilingfacewithhearteyessmilingfacewithhearteyessmilingfacewithhearteyessmilingfacewithhearteyessmilingfacewithhearteyessmilingfacewithhearteyessmilingfacewithhearteyessmilingfacewithhearteyessmilingfacewithhearteyessmilingfacewithhearteyessmilingfacewithhearteyessmilingfacewithhearteyessmilingfacewithhearteyessmilingfacewithhearteyessmilingfacewithhearteyessmilingfacewithhearteyessmilingfacewithhearteyessmilingfacewithhearteyessmilingfacewithhearteyessmilingfacewithhearteyessmilingfacewithhearteyessmilingfacewithhearteyessmilingfacewithhearteyessmilingfacewithhearteyessmilingfacewithhearteyessmilingfacewithhearteyessmilingfacewithhearteyessmilingfacewithhearteyessmilingfacewithhearteyessmilingfacewithhearteyessmilingfacewithhearteyessmilingfacewithhearteyes,1
jb true star,1
god good mn,1
yeh,1
two thousand twenty-three still enjoying redheartredheartpartypopper,1
legend listening song long time best song justin bieber ever oldisgold old vibes,1
justin bieber transcended almost twenty-three generations people,1
made fall love jbno matter old getwhen listen always feel like thirteen,1
2023algeriagreenheartgreenheartalgeriagreenheartgreenheartalgeriaalgeriablackheart,1
let agree jb owned whole world time song,1
one best justin broken lost come video song redheartredheartpartypopperpartypoppersmilingfacewithsmilingeyesthank inspiring world amen redheart,1
love foreverredheartredheartredheart,1
mean kid pushed major corporate figures fault kid good vocals bad press surrounding guess,0
song world redheart,1
love,1
eieiwijajbackhandindexpointingdownsmilingfacewithhearteyesbackhandindexpointingdownsmilingfacewithhearteyesbackhandindexpointingdownfhdhredheartsmilingfacewithhearteyesredheartsmilingfacewithhearteyesrollingonthefloorlaughingsmilingfacewithhearteyesrollingonthefloorlaughingredheartbrokenheartredheartsmilingfacewithsmilingeyespurpleheartbrokenheartredheartbrokenheartredheartbrokenheartredheartrollingonthefloorlaughingbackhandindexpointingdownrollingonthefloorlaughingsmilingfacewithhearteyesrollingonthefloorlaughingbackhandindexpointingdownredheartbackhandindexpointingdownredheartsmilingfacewithhearteyesredheartsmilingfacewithhearteyesredheartsmilingfacewithhearteyesredheartbackhandindexpointingdownredheartbrokenheartredheartbrokenheart,1
june thirty-one india,1
favorite song bangladesh,1
postpone concert,0
coolsmilingfacewithsmilingeyesredheart,1
two thousand ten baby baby baby two thousand fifteen sorry sorry sorry two thousand twenty yummy yummy yummy,1
"song summed one thousand , five hundred sixteen years age self age justin bless catchy tune sparklesstarstruck",1
still listening two thousand twenty-three,1
good song ever redheart,1
thirteen years still dislike,0
like two thousand twenty-three,1
great vocalsstarstruck dancingfacewithoutmouth,0
thirteen years later song still sucks lololololololol,0
headstart look like fire,0
makes remember everyone death wish justin bieber back,0
priyanka kanu redheartredheartredheartredheartredheartredheartredheartredheartredheartredheartpartypopperpartypopperpartypopperpartypopperredheartredheartredheartredheart,1
ludacris verse fire,1
love justin bieber,1
haley,1
going ignore drake video,0
today years old found drake video,0
old gold cowboyhatfacecoin,1
sometimes think crazy impact like quite literally legend,1
2010baby baby baby 2015sorry sorry sorry 2020yummy yummy yummy,1
love india india heartsuit,1
hey guys checkout lisa blackpink song money,1
two thousand ten baby baby baby two thousand fifteen sorry sorry sorry two thousand twenty yummy yummy yummy,1
two thousand twenty-three still loudlycryingfaceloudlycryingfaceloudlycryingface,0
tradition dislike video,0
camera man needs oscarfacewithopenmouth,0
song older,1
one would expect 4th disliked video,0
baby baby oh like baby baby baby,1
best romantic lyricsmilingfacewithhearts heart beating million second listen musicokhandmicrophonemusicalnotesheartsuitredheart,1
young cryingfacefacewithopenmouthsmilingfacewithsmilingeyes,1
culinary,1
younger everybody hating song annoying always found enjoyable think ludas part fire day,0
2009infinity love always justin redheart,1
two thousand twenty-three beamingfacewithsmilingeyes,1
redheartredheartredheartredheart stuck head,1
many indian public redheart song,1
partypopperare able doit slow also want love,1
two thousand thirty-three,1
thirteen 26faceholdingbacktearsdisappointedface,0
getting older hate disappointedface,0
three hundred thirty-nine favourite part,1
two thousand twenty-three always coolredheart,1
love youredheartredheartredheartredheartredheartredheartredheart,1
even born song came,1
video fifteen million dislikes,0
justin see dose like bro let alone,0
know listening song fire,0
siredheartredheartredheartredheartredheartredheartredheartredheartredheart,1
many people growup songredheartredheart,1
redheart love song redheart justin beiber,1
one hundred fourteen drake,1
2025happy happy,1
favorite song love song,1
dear justin sorry hating reason cryingface sorry love redheart,1
song basically sort know way sung actors kind acted dancers danced basically video video say truly one songs ever made,1
sing song year hit likeredheart,1
love song,1
oh sdd,0
back two thousand twenty-three,1
still loves justin two thousand twenty-three meeeeee,1
childhood loveredheartredheartredheart,1
loveyoumecryingcatkissingcatmeshowboyfaceblowingakisskissingfacewithsmilingeyeskissingfacewithclosedeyeskissmarkkissmarkkissmarkkissmarkkissmarkkissmark,1
old gold song redheartredheartredheartredheartredheart,1
still favourite song,1
song never get old redheartredheartsparkles agree,1
still get reason ten million dislikes,0
beautiful,1
anyone two thousand twenty-three,1
song remain one gen iconic song ever,1
baby justin everything revolvinghearts,1
listen two thousand twenty-three,1
road three billion views signofthehornssignofthehornssignofthehorns,1
fifteen dec two thousand twenty-three,1
masterpiece fr,1
many couple listen song 2023partypopperpartypopper,1
two thousand twenty-three still listen song redheart,1
luda chris fast five,1
love india triangularflagomredheartredheart,1
beaver,1
luda thirteen first love nobody compared baby nobody came us could ever come goin crazy oh star struck woke daily need starbucks made heart pound skip beat see street school playground really want see weekend know got dazing amazin heart breakin keep sayin baby baby baby oooh,1
came see really drake,1
girls ass kind small,0
"two thousand , nine hundred ninety-four billion views wonderful please go two thousand , nine hundred ninety-eight billion views naman",1
song defines era love hate never teenage girls going crazy kid,0
fav part twenty-eight thirty-five thirty-six,1
ten year ago cryingface,0
came dislike,0
justin bieber best singer whole worldredheartredheart,1
cousin crush,1
keep listening song two thousand ninety-nine hand facewithtearsofjoy,1
justin bieber want kids,1
stroking shit jackin shit,0
sister listened brazilian song top,1
baby oh baby baby oh,1
chat real,1
thirty july two thousand twenty-three,1
know vid eighteen million dislikes,0
know even two thousand twenty-three like eight years heard song first reaction internal screaming like minds first reaction,0
looks young thirteen years ago redheart,1
ohhhh,1
justin bieber favorite songs fans songs fans songs,1
nostalgia hit harder reminds good old school days,1
song assfacewithtearsofjoy,0
favorite song bye justin,1
two thousand ten thirteen yrs ago,0
redheart keep awesome music way,1
realised today drake video,1
two thousand twenty-three listeners,0
"stay wait till day hits two billion , nine hundred ninety-nine million , nine hundred ninety-nine thousand , nine hundred ninety-nine views amazing happy finally hit 3b siuuuuuuuuuuu fourleafclovergreenheart eight hundred eighty-two thousand twenty-three 3b views",1
three hundred eight,1
anyone rodrick cover song facewithtearsofjoy,0
kid future know happen,0
old days early two thousand early 2000s gang loudlycryingface downarrow,0
justin bieber really love baby song baby baby baby oh best figure whole wide whale,1
song change mood smilingfacewithsmilingeyesredheart,1
forever revolvinghearts,1
twenty-eight song almost older megrinningfacewithsweat,1
three billion,0
justin bieber best video,1
love justin redheart one hated world without crime still never forget make fans smile love redheart may hated person pop history time loved person seven hundred seventeen crore fans redheart whatever may situation always stan redheart whenever breaking remember one thing still biggest pop star world redheartredheartredheartredheartjust love redheart hug brother justinredheart,1
manliest pop listener nonmichael jackson,1
video degenerocity really got listening back like damn pretty fire,1
randomly remember song came back facewithtearsofjoyfacewithtearsofjoy,0
3b views soon,1
find truth tell little guy ask take picture know truth told father dreams taylor swift,1
know people hate song good,1
already thirteen years ago,0
justin bieber left singing,1
july two thousand twenty-three let us see many still watching blueheart,1
ossame,1
realize song bigger,1
one 2023redheart,1
nice bro super thanks okhand,1
malayalli undosmilingfacewithsmilingeyes,1
good old days,1
tjienodfjod,1
bro papeto lendo,1
facewithtearsofjoyfacewithtearsofjoy,1
forty-five,1
wake every day turn song,1
forte baby baby,1
justin fact speakingheaddoubleexclamationmark,1
song still ass skull,0
partypopperpartypopperpartypopper,1
legendry sang love india india,1
lyrics oh woah oh woah oh woah know love know care shout whenever love heart never ever ever apart item girl quit playing friends saying said another looked right eyes first love broke heart first time like baby baby baby ooh like baby baby baby like baby baby baby ooh thought always mine mine baby baby baby ooh like baby baby baby like baby baby baby ooh thought always mine mine oh would done whatever believe together want play cool losing buy anything buy ring pieces baby fix shake till wake bad dream going believe first love around like baby baby baby ooh like baby baby baby like baby baby baby ooh thought always mine mine baby baby baby ooh like baby baby baby like baby baby baby ooh thought always mine mine luda thirteen first love nobody compared baby nobody came us could ever come going crazy oh starstruck woke daily need starbucks make heart pound skip beat see street school playground really want see weekend knows got dazing amazing heart breaking keep saying baby baby baby oohlike baby baby baby like baby baby baby ooh thought always mine mine baby baby baby ooh like baby baby baby like baby baby baby ooh thought always mine mine gone yeah yeah yeah yeah yeah yeah gone yeah yeah yeah yeah yeah yeah gone yeah yeah yeah yeah yeah yeah gone gone gone gone gone,0
two thousand twenty-three anyone,1
ear rape taken put,0
asking 15m dislikes,0
white boy dancefacewithtearsofjoyfacewithtearsofjoyfire like agree edit thanks likes guys,1
hi wavinghand two thousand twenty-three back heresmilingfacewithsmilingeyes,1
video feel old dance showdown th eclub lmao rollingonthefloorlaughingrollingonthefloorlaughingrollingonthefloorlaughing,0
disliked song,0
love justen smilingfacewithsmilingeyesredheartredheartredheart,1
still listening two thousand twenty-three bangladesh bangladesh,1
friends sayinnn,1
old flame first love unforgettable redheart,1
really sorry,0
shit used disliked vid youtube see count facewithmonocle,0
understand hates justin slightlysmilingface best singer world globeshowingamericasglobeshowingeuropeafrica,1
july two thousand twenty-three thought would one still skull,1
july two thousand twenty-three redheart,1
got work luda age would starstruck,1
know love,1
two thousand twenty-three anyoneredheartsmilingfacewithhearts,1
dawg drake two hundred two,0
te amo justin,1
know love know care yo uhhuh shout whenever yo uhhuh love heart yo uhhuh never ever ever apart yo uhhuh item girl quit playin yo uhhuh friends sayin yo uhhuh said another looked right eyes yo uhhuh first love broke heart first time like yo uhhuh chorus justin bieber baby baby baby oh like baby baby baby like baby baby baby oh thought always mine mine baby baby baby oh like baby baby baby like baby baby baby oh thought always mine mine verse two justin bieber ludacris oh would done whatever yo uhhuh believe together yo uhhuh want play cool losin yo uhhuh buy anything buy ring yo uhhuh pieces baby fix yo uhhuh shake till wake bad dream yo uhhuh going yo uhhuh believe first love around like chorus justin bieber baby baby baby oh like baby baby baby like baby baby baby oh thought always mine mine baby baby baby oh like baby baby baby like baby baby baby oh thought always mine mine luda thirteen first love nobody compared baby nobody came us could ever come going crazy oh starstruck woke daily need starbucks woo made heart pound skip beat see street school playground really want see weekend knows got dazing amazing heart breaking keep saying justin bieber baby baby baby oh like baby baby baby like baby baby baby oh thought always mine mine baby baby baby oh like baby baby baby like baby baby baby oh thought always mine mine gone yeahyeahyeah yeahyeahyeah gone yeahyeahyeah yeahyeahyeah gone yeahyeahyeah yeahyeahyeah gone gone gone gone gone gone,0
bieber era never gets old,1
going back hit,1
lovedhated onmost loved nowwe really make minds,1
anyone know video 10m 11m dislikes trying rude one likes comment delete,0
late 2000s justin bieber looks like one little shits family vlogs videos want bully beat shit,0
goodpartypopperpartypopperpartypopperpartypopperpartypopperredheartredheartredheartredheartredheartredheartredheartredheartredheartredheartredheartredheartredheartredheartredheartredheartpartypopperpartypopperpartypopperpartypopperpartypopperpartypopper,1
see,1
smilingfacewithsmilingeyes,1
song awesome,1
hello indonesia,1
quality video thirteen years passed still,0
nice song,1
love song favorite orangeheartredheartredheartredheartredheartredheart,1
drake video pus pus,0
two thousand twenty-three six 29smilingfacewithsmilingeyes,1
strong iu,1
one time come malaysia,1
nice song,1
song never old redheart,1
two thousand twenty-three,0
miss time first hear song fm radio two thousand ten old sigh miss time high school,0
smilingfacewithsmilingeyesjustin inspired go music like artist trying get heard top happening stopping redheart,1
listen days facebook videos project nightfalls back youtube channel huge love pakistan stay strong dearsmilingfacewithsmilingeyes,1
nostalgia,1
like justin songs really listen rude always thought women sang loudlycryingface never saw music video heard,0
wow three billion fire,1
heartwitharrowblackheart,1
two thousand twenty-four smilingfacewithsmilingeyes,1
name alaa love song ooooooooooooooooooooooooooohhhhhhhhhhhhhhhhhhhhhhhhhhhh,1
justin bieber awesome,1
wait people actually like song,1
31st year getting chill feeling bachelor,1
like beats record,1
white baby oh white baby bay bee kissmark,1
male adulthood realize actually goes hard,0
good morning tennessee,1
best part three hundred thirty-eight,1
justinnnnn redheart,1
childhood memories unlocked redheart,1
better rap shit,1
sorry hating songs fire,0
song amazing redheart love youredheart,1
sounds lika ten year old girl,1
man old old taylorjb akon mj playlist back early 2010s days stll listen taylor 28yo dude,0
rude sounds like woman,1
many years still jamming songs beers,1
lol hate guy reason back days today love song coz every club plays song hahaha,1
song older,1
continue hatred dislike song lil guy forever,0
justin bieber get chingy album make video song,1
redheartredheart make videos love,1
rainbowflag,1
beliebers hit like button,1
always love youbelieber foreverredheartredheartredheart,1
good song ludacris,1
hope getting better king still much offer universe raisinghandsdarkskintoneredheartcheckmarkbutton,1
gatooooo,1
girl pretty redheart,1
auto tune though,1
justin bieber remains greatest singer history matter time passes matter happens heart remain love justin,1
beautiful song,1
singer car sent grinningfacewithsweat,0
oh woah oh woah oh woah know love know care shout whenever love heart never ever ever apart item girl quit playing friends saying said another looked right eyes first love broke heart first time like baby baby baby ooh like baby baby baby like baby baby baby ooh thought always mine mine baby baby baby ooh like baby baby baby like baby baby baby ooh thought always mine mine oh would done whatever believe together want play cool losing buy anything buy ring pieces baby fix shake till wake bad dream going believe first love around like baby baby baby ooh like baby baby baby like baby baby baby ooh thought always mine mine baby baby baby ooh like baby baby baby like baby baby baby ooh thought always mine mine luda thirteen first love nobody compared baby nobody came us could ever come going crazy oh starstruck woke daily need starbucks make heart pound skip beat see street school playground really want see weekend knows got dazing amazing heart breaking keep saying baby baby baby oohlike baby baby baby like baby baby baby ooh thought always mine mine baby baby baby ooh like baby baby baby like baby baby baby ooh thought always mine mine gone yeah yeah yeah yeah yeah yeah gone yeah yeah yeah yeah yeah yeah gone yeah yeah yeah yeah yeah yeah gone gone gone gone gone,0
song special place hearts twohearts,1
love beauty beat despacito justin bieber,1
wowastonishedfacestarstruck,1
disliked video youtubefacewithtearsofjoyfacewithtearsofjoyfacewithtearsofjoy,0
always favourite song ever sparklingheart,1
heartsuitheartsuitheartsuitheartsuit,1
justin bieber oh whoaohohohoh oh whoaohohoh oh oh whoa ohohoh oh ohoh oh ohoh oh justin bieber ludacris know love know care yo uhhuh shout whenever yo uhhuh love heart yo uhhuh never ever ever apart yo uhhuh item girl quit playing yo uhhuh friends saying yo uhhuh said another looked right eyes yo uhhuh first love broke heart first time like yo uhhuh justin bieber baby baby baby oh like baby baby baby like baby baby baby oh thought always mine mine baby baby baby oh like baby baby baby like baby baby baby oh thought always mine mine justin bieber ludacris oh would done whatever yo uhhuh believe together yo uhhuh want play cool losing yo uhhuh buy anything buy ring yo uhhuh pieces baby fix yo uhhuh shake til wake bad dream yo uhhuh going yo uhhuh believe first love around like justin bieber baby baby baby oh like baby baby baby like baby baby baby oh thought always mine mine baby baby baby oh like baby baby baby like baby baby baby oh thought always mine mine ludacris luda thirteen first love nobody compared baby nobody came us could ever come going crazy oh starstruck woke daily need starbucks woo made heart pound skip beat see street school playground really want see weekend knows got dazing amazing heart breaking keep saying justin bieber baby baby baby oh like baby baby baby like baby baby baby oh thought always mine mine baby baby baby oh like baby baby baby like baby baby baby oh thought always mine mine gone yeahyeahyeah yeahyeahyeah gone yeahyeahyeah yeahyeahyeah gone yeahyeahyeah yeahyeahyeah gone gone gone gone gone gone,0
saying 29b viewsfacewithopenmouth,1
still understand people hated song back skull,0
best song heard,1
barberredheart,1
jr rich ninety-seven old paper two thousand nine baby song truth yes jr rich real,1
near three billion,1
like justin bieber redheart,1
wow 15m dislikes video,0
heard song 2023redheart,1
heard song 2023redheart,1
see hateid,0
beatingheartbeatingheartbeatingheart,1
king,1
prince pop,1
purpleheartpurpleheartpurpleheartpurpleheart,1
love song redheartcrown,1
literally thought music one yr old becuz video quality look voice difference though,0
justin casts must make reunion together time passed,1
people hated justin without reason back days inoocent grinningfacewithsweatnow like song remove dislike ok facewithtearsofjoy,1
missing old times,0
2010baby 2015sorry two thousand twenty yummy yummy two thousand twenty-five recommended,1
